FECHA,NEMO,RAZON_SOCIAL,VOLUMEN,VAR_PRE,CANTIDAD,PRE_CIE,PRE_MAX,PRE_MED,PRE_MEN,V_ACMI_FEC_INSCRIP,PATRI_CON
06/01/2016,COLOMBINA ,COLOMBINA S.A.,0,0,0,319,0,0,0,19871217,470.67
06/01/2016,COLTEJER  ,COLTEJER S.A.,3493700,0,2852,1950,0,1225,0,19360501,7982.28
06/01/2016,CONCIVILES,CONSTRUCCIONES CIVILES S.A.,0,0,0,500,0,0,0,19901217,0.01
06/01/2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,3656655,0,3533,1070,0,1035,0,19831027,1178.48
06/01/2016,COOMEVAEPS,COOMEVA ENTIDAD PROMOTORA DE SALUD S.A.,0,0,0,0.39,0,0,0,19960223,1
06/01/2016,CORFERIAS ,CORPORACION DE FERIAS Y EXPOSICIONES S.A.,0,0,0,1000,0,0,0,19900328,2720.1
06/01/2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,2733475620,0,72530,38400,38400,37687.52,36500,19921028,21634.61
06/01/2016,DESCAUCANO,ALIMENTOS DERIVADOS DE LA CANA S.A.,0,0,0,709,0,0,0,19961210,2812.42
06/01/2016,ECOPETROL ,ECOPETROL S.A.,5485914960,-2.3,5171972,1060,1075,1060.7,1055,20070822,1104.57
06/01/2016,EEB       ,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,445213810,-0.86,255907,1735,1750,1739.75,1730,20080708,1239.86
06/01/2016,ELCONDOR  ,CONSTRUCCIONES EL CONDOR S.A,38066970,-2.31,36134,1055,1055,1053.49,1050,20120305,1594.75
06/01/2016,ELECTULUA ,COMPANIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,0,0,0,498460,0,0,0,19960327,341939.59
06/01/2016,EMPAQUES  ,COMPANIA DE EMPAQUES S.A.,0,0,0,11000,0,0,0,19680607,16529.12
06/01/2016,ENKA      ,ENKA DE COLOMBIA S.A.,0,0,0,10.9,0,0,0,20070917,31.26
06/01/2016,EPSA      ,EMPRESA DE ENERGIA DEL PACIFICO S.A. E.S.P.,0,0,0,9000,0,0,0,19991203,8064.11
06/01/2016,ESTRA     ,INDUSTRIAS ESTRA S.A.,0,0,0,245,0,0,0,19690327,345.39
06/01/2016,ETB       ,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. E.S.P.,239373257,-0.55,444633,540,540,538.36,537,20030509,548.44
06/01/2016,EXITO     ,ALMACENES EXITO S.A.,2791327940,-1.69,218864,12760,13000,12753.71,12720,19970430,43155.7
06/01/2016,FABRICATO ,FABRICATO  S.A.,9646393.1,0,641000,15.1,0,15.05,0,19340401,62.08
06/01/2016,FAMILIA   ,PRODUCTOS FAMILIA S.A.,0,0,0,1100,0,0,0,19981124,1348.03
06/01/2016,FGNTOLIMA ,FONDO GANADERO DEL TOLIMA S.A.,0,0,0,12,0,0,0,19751104,43.07
06/01/2016,GASNATURAL,GAS NATURAL S.A. E.S.P.,0,0,0,120000,0,0,0,19961230,11700.57
06/01/2016,GASORIENTE,GAS NATURAL DEL ORIENTE S.A. E.S.P.,0,0,0,10700,0,0,0,19951127,1215.3
06/01/2016,GRUPOARGOS,GRUPO ARGOS S.A.,1931890980,0,119796,16200,16200,16126.51,15800,19410825,26989.27
06/01/2016,GRUPOAVAL ,GRUPO AVAL ACCIONES Y VALORES S.A.,118253220,-2.39,114736,1020,1040,1030.65,1010,19981116,1070.85
06/01/2016,GRUPOSURA ,GRUPO INVERSIONES SURAMERICANA,3904157640,-0.53,114402,34100,34300,34126.66,34000,19450716,43597.61
06/01/2016,HCOLSEL   ,FONDO BURSATIL HORIZONS COLOMBIA SELECT DE SYP,5050000,0,500,10120,0,10100,0,20140527,15000
06/01/2016,ICOLCAP   ,FONDO BURSATIL ISHARES COLCAP,2869000000,0,250000,11420,11490,11476,11420,20110706,17160
06/01/2016,INCASTILLA,CASTILLA AGRICOLA S.A.,0,0,0,15100,0,0,0,19830715,9898.91
06/01/2016,INESA     ,INVERSIONES EQUIPOS Y SERVICIOS S.A.,0,0,0,419,0,0,0,19840628,1139.25
06/01/2016,INVENSA   ,INVERSIONES VENECIA S.A.,0,0,0,506,0,0,0,19860623,1638.54
